"day","mean_draws","stdev_draws","shout","transactions","mean","stdev"
1,60,10,"bid",0,0,0
2,60,10,"bid",4,124.13,19.046
3,60,10,"bid",5,119.516,12.293
4,60,10,"bid",16,115.154,10.535
5,60,10,"bid",15,139.685,24.47
6,60,10,"bid",11,110.301,4.424
7,60,10,"bid",9,111.238,13.904
8,60,10,"bid",16,123.166,24.488
9,60,10,"bid",10,113.533,10.687
10,60,10,"bid",9,107.535,4.837
11,60,10,"bid",2,100.468,2.657
12,60,10,"bid",9,131.462,21.442
13,60,10,"bid",14,109.66,4.411
14,60,10,"bid",18,131.716,19.266
15,60,10,"bid",16,131.242,31.216
16,60,10,"bid",5,124.086,21.793
17,60,10,"bid",9,114.973,13.613
18,60,10,"bid",15,116.663,10.15
19,60,10,"bid",18,124.412,16.429
20,60,10,"bid",15,124.746,15.554
21,60,10,"bid",12,120.107,9.537
22,60,10,"bid",12,118.634,13.385
23,60,10,"bid",15,125.673,28.17
24,60,10,"bid",6,127.422,13.623
25,60,10,"bid",3,164.83,13.225
26,60,10,"bid",15,124.225,17.83
27,60,10,"bid",18,110.316,6.671
28,60,10,"bid",15,121.599,26.115
29,60,10,"bid",12,139.893,39.728
30,60,10,"bid",16,129.71,25.276
31,60,10,"bid",18,121.596,14.55
32,60,10,"bid",9,110.589,12.395
33,60,10,"bid",10,116.318,16.733
34,60,10,"bid",20,111.326,13.953
35,60,10,"bid",18,127.037,46.595
36,60,10,"bid",9,128.03,24.182
37,60,10,"bid",23,113.559,12.36
38,60,10,"bid",21,137.103,36.866
39,60,10,"bid",15,110.219,9.108
40,60,10,"bid",17,127.016,27.92
41,60,10,"bid",9,139.771,24.545
42,60,10,"bid",17,121.849,31.085
43,60,10,"bid",15,137.835,41.991
44,60,10,"bid",15,124.987,27.482
45,60,10,"bid",9,104.285,4.707
46,60,10,"bid",12,105.163,5.157
47,60,10,"bid",23,126.609,12.214
48,60,10,"bid",17,117.787,14.319
49,60,10,"bid",3,136.16,0
50,60,10,"bid",15,117.788,20.368
51,60,10,"bid",18,109.382,8.704
52,60,10,"bid",17,116.17,12.331
53,60,10,"bid",10,122.07,16.131
54,60,10,"bid",10,105.971,2.207
55,60,10,"bid",16,111.51,13.084
56,60,10,"bid",11,119.35,12.846
57,60,10,"bid",3,107.384,0
58,60,10,"bid",15,118.448,21.524
59,60,10,"bid",14,122.754,35.968
60,60,10,"bid",12,113.29,8.723
61,60,10,"bid",19,111.451,8.174
62,60,10,"bid",23,115.968,20.016
63,60,10,"bid",15,121.71,20.582
64,60,10,"bid",9,103.759,2.784
65,60,10,"bid",20,112.356,11.416
66,60,10,"bid",15,108.919,8.892
67,60,10,"bid",13,126.768,25.624
68,60,10,"bid",9,107.462,12.391
69,60,10,"bid",8,108.229,11.425
70,60,10,"bid",6,112.518,8.691
71,60,10,"bid",15,137.168,27.172
72,60,10,"bid",26,131.448,40.586
73,60,10,"bid",10,120.575,13.189
74,60,10,"bid",19,133.953,28.888
75,60,10,"bid",20,123.045,25.143
76,60,10,"bid",18,129.375,37.913
77,60,10,"bid",15,141.109,27.027
78,60,10,"bid",8,125.297,16.9
79,60,10,"bid",12,152.734,50.591
80,60,10,"bid",21,122.399,16.311
81,60,10,"bid",21,151.924,42.234
82,60,10,"bid",19,110.426,7.949
83,60,10,"bid",19,131.729,39.71
84,60,10,"bid",20,144.684,42.321
85,60,10,"bid",10,106.016,3.861
86,60,10,"bid",17,110.322,9.572
87,60,10,"bid",18,118.944,14.047
88,60,10,"bid",15,106.018,5.119
89,60,10,"bid",9,117.279,16.472
90,60,10,"bid",15,120.904,19.867
91,60,10,"bid",12,109.29,8.296
92,60,10,"bid",10,107.952,4.3
93,60,10,"bid",18,111.532,11.821
94,60,10,"bid",8,133.504,34.46
95,60,10,"bid",12,109.89,6.498
96,60,10,"bid",4,206.711,58.871
97,60,10,"bid",10,110.75,8.594
98,60,10,"bid",14,128.515,35.853
99,60,10,"bid",13,123.788,31.047
100,60,10,"bid",12,133.634,41.112
101,60,10,"bid",21,136.54,15.115
102,60,10,"bid",10,124.045,10.261
103,60,10,"bid",17,121.865,22.335
104,60,10,"bid",14,108.298,8.313
105,60,10,"bid",17,107.179,7.872
106,60,10,"bid",8,153.033,27.607
107,60,10,"bid",18,111.595,6.394
108,60,10,"bid",21,114.695,8.875
109,60,10,"bid",13,102.642,3.461
110,60,10,"bid",9,106.76,8.379
111,60,10,"bid",14,108.473,8.049
112,60,10,"bid",16,130.627,32.198
113,60,10,"bid",15,118.773,22.707
114,60,10,"bid",9,126.772,21.893
115,60,10,"bid",8,116.907,16.923
116,60,10,"bid",18,116.195,10.794
117,60,10,"bid",21,135.215,23.964
118,60,10,"bid",7,109.285,3.274
119,60,10,"bid",14,130.356,19.409
120,60,10,"bid",12,132.635,14.534
121,60,10,"bid",15,126.308,22.884
122,60,10,"bid",23,121.835,19.424
123,60,10,"bid",15,126.193,21.376
124,60,10,"bid",16,124.57,21.42
125,60,10,"bid",27,116.206,15.953
126,60,10,"bid",14,141.859,21.853
127,60,10,"bid",13,109.993,8.516
128,60,10,"bid",14,112.264,8.886
129,60,10,"bid",16,109.812,5.708
130,60,10,"bid",22,122.912,21.479
131,60,10,"bid",10,122.263,16.601
132,60,10,"bid",15,116.352,21.436
133,60,10,"bid",9,122.924,14.524
134,60,10,"bid",15,127.034,27.03
135,60,10,"bid",15,115.962,14.793
136,60,10,"bid",14,122.125,21.702
137,60,10,"bid",3,152.244,15.604
138,60,10,"bid",10,113.235,14.232
139,60,10,"bid",20,110.803,5.139
140,60,10,"bid",21,123.348,17.355
