"day","mean_draws","stdev_draws","shout","transactions","mean","stdev"
1,60,10,"bid",0,0,0
2,60,10,"bid",6,117.126,4.773
3,60,10,"bid",15,123.738,21.329
4,60,10,"bid",14,122.085,26.25
5,60,10,"bid",10,112.169,13.398
6,60,10,"bid",8,108.389,6.831
7,60,10,"bid",15,114.285,14.416
8,60,10,"bid",9,115.358,14.106
9,60,10,"bid",6,118.347,15.744
10,60,10,"bid",3,102.783,0.077
11,60,10,"bid",6,135.952,16.041
12,60,10,"bid",3,126.59,0
13,60,10,"bid",7,166.949,34.391
14,60,10,"bid",4,110.525,6.763
15,60,10,"bid",3,104.531,0
16,60,10,"bid",10,108.915,8.619
17,60,10,"bid",8,105.584,0.721
18,60,10,"bid",17,111.259,5.027
19,60,10,"bid",6,110.271,0
20,60,10,"bid",9,107.969,9.312
21,60,10,"bid",14,123.205,30.75
22,60,10,"bid",10,136.656,27.094
23,60,10,"bid",6,119.208,12.966
24,60,10,"bid",13,115.801,12.2
25,60,10,"bid",10,128.228,21.603
26,60,10,"bid",9,115.857,15.063
27,60,10,"bid",13,120.607,21.419
28,60,10,"bid",13,122.485,16.241
29,60,10,"bid",6,105.664,3.656
30,60,10,"bid",8,116.473,13.1
31,60,10,"bid",18,126.051,29.644
32,60,10,"bid",8,114.418,14.047
33,60,10,"bid",0,0,0
34,60,10,"bid",14,137.546,40.207
35,60,10,"bid",14,116.865,15.909
36,60,10,"bid",13,108.45,7.292
37,60,10,"bid",0,0,0
38,60,10,"bid",5,106.415,4.79
39,60,10,"bid",6,122.739,11.531
40,60,10,"bid",22,124.827,25.926
41,60,10,"bid",11,118.919,17.427
42,60,10,"bid",15,141.025,28.575
43,60,10,"bid",6,110.35,9.218
44,60,10,"bid",10,116.696,10.364
45,60,10,"bid",16,125.4,26.206
46,60,10,"bid",7,110.84,13.252
47,60,10,"bid",9,125.023,29.423
48,60,10,"bid",14,101.987,2.225
49,60,10,"bid",10,132.567,42.537
50,60,10,"bid",9,130.257,18.091
51,60,10,"bid",8,150.107,62.596
52,60,10,"bid",14,116.49,22.897
53,60,10,"bid",9,134.775,12.1
54,60,10,"bid",15,118.335,18.76
55,60,10,"bid",6,129.414,8.845
56,60,10,"bid",18,125.553,31.103
57,60,10,"bid",15,129.737,20.407
58,60,10,"bid",7,124.398,14.549
59,60,10,"bid",15,109.938,7.094
60,60,10,"bid",11,108.544,6.044
61,60,10,"bid",9,103.217,0.54
62,60,10,"bid",17,112.751,9.451
63,60,10,"bid",16,119.573,15.46
64,60,10,"bid",4,115.872,20.82
65,60,10,"bid",23,121.608,25.578
66,60,10,"bid",12,112.901,8.801
67,60,10,"bid",24,123.736,33.827
68,60,10,"bid",9,108.578,4.009
69,60,10,"bid",8,130.573,34.697
70,60,10,"bid",15,112.195,10.07
71,60,10,"bid",6,119.054,8.525
72,60,10,"bid",14,120.863,18.218
73,60,10,"bid",11,110.39,13.467
74,60,10,"bid",11,105.296,5.875
75,60,10,"bid",13,131.303,25.915
76,60,10,"bid",12,118.396,10.502
77,60,10,"bid",12,116.22,22.657
78,60,10,"bid",13,117.768,10.075
79,60,10,"bid",15,150.935,27.761
80,60,10,"bid",4,126.548,0.019
81,60,10,"bid",17,119.889,20.746
82,60,10,"bid",13,103.533,4.29
83,60,10,"bid",6,120.234,20.784
84,60,10,"bid",12,109.369,9.295
85,60,10,"bid",12,113.09,13.94
86,60,10,"bid",18,121.504,11.854
87,60,10,"bid",9,110.851,1.461
88,60,10,"bid",21,115.628,7.541
89,60,10,"bid",18,119.484,12.042
90,60,10,"bid",30,122.946,19.242
91,60,10,"bid",10,103.618,1.195
92,60,10,"bid",13,109.897,11.746
93,60,10,"bid",15,113.884,17.921
