"day","mean_draws","stdev_draws","shout","transactions","mean","stdev"
1,60,10,"bid",0,0,0
2,60,10,"bid",6,116.899,4.856
3,60,10,"bid",5,111.628,9.34
4,60,10,"bid",8,107.037,4.616
5,60,10,"bid",6,101.659,1.019
6,60,10,"bid",6,101.08,1.132
7,60,10,"bid",8,104.745,7.904
8,60,10,"bid",0,0,0
9,60,10,"bid",3,134.314,0
10,60,10,"bid",7,104.984,2.493
11,60,10,"bid",7,118.429,17.234
12,60,10,"bid",7,104.174,4.379
13,60,10,"bid",9,102.253,2.881
14,60,10,"bid",15,114.996,15.091
15,60,10,"bid",16,128.085,21.287
16,60,10,"bid",7,113.07,8.792
17,60,10,"bid",10,112.157,13.827
18,60,10,"bid",8,121.786,15.93
19,60,10,"bid",5,112.922,8.945
20,60,10,"bid",3,169.633,4.714
21,60,10,"bid",3,106.784,0
22,60,10,"bid",9,127.043,7.127
23,60,10,"bid",3,129.172,10.842
24,60,10,"bid",14,131.619,17.43
25,60,10,"bid",3,101.7,0
26,60,10,"bid",4,111.105,6.154
27,60,10,"bid",6,107.52,2.436
28,60,10,"bid",6,137.124,11.879
29,60,10,"bid",15,107.57,9.243
30,60,10,"bid",11,114.917,13.06
31,60,10,"bid",18,118.217,17.244
32,60,10,"bid",10,105.974,3.803
33,60,10,"bid",6,103.884,1.666
34,60,10,"bid",6,105.369,2.81
35,60,10,"bid",9,131.338,22.806
36,60,10,"bid",3,102.97,3.581
37,60,10,"bid",3,100.487,1.457
38,60,10,"bid",11,114.752,16.652
39,60,10,"bid",0,0,0
40,60,10,"bid",5,103.585,5.785
41,60,10,"bid",7,106.36,2.02
42,60,10,"bid",6,101.646,1.478
43,60,10,"bid",12,106.78,4.709
44,60,10,"bid",5,100.149,0.813
45,60,10,"bid",9,112.856,8.875
46,60,10,"bid",8,103.352,2.616
47,60,10,"bid",18,123.695,20.349
48,60,10,"bid",6,109.412,3.607
49,60,10,"bid",3,112.801,1.894
50,60,10,"bid",6,130.895,32.56
51,60,10,"bid",14,113.046,13.278
52,60,10,"bid",12,121.045,18.303
53,60,10,"bid",16,108.621,9.047
54,60,10,"bid",6,117.121,9.889
55,60,10,"bid",3,103.667,0
56,60,10,"bid",7,108.02,6.329
57,60,10,"bid",6,109.969,9.125
58,60,10,"bid",6,107.017,4.248
59,60,10,"bid",7,103.046,1.879
60,60,10,"bid",0,0,0
61,60,10,"bid",9,101.274,1.011
62,60,10,"bid",9,105.979,16.347
63,60,10,"bid",12,113.419,14.527
64,60,10,"bid",19,116.57,14.564
65,60,10,"bid",7,118.159,17.041
66,60,10,"bid",3,114.312,0
67,60,10,"bid",9,117.396,11.231
68,60,10,"bid",3,118.972,11.088
69,60,10,"bid",6,105.038,0.746
70,60,10,"bid",6,102.183,0.485
71,60,10,"bid",9,118.265,13.117
72,60,10,"bid",9,120.834,7.001
73,60,10,"bid",13,107.787,6.542
74,60,10,"bid",15,131.784,21.421
75,60,10,"bid",12,118.139,14.139
76,60,10,"bid",8,106.831,3.931
77,60,10,"bid",6,128.68,18.735
78,60,10,"bid",4,109.656,0.284
79,60,10,"bid",10,108.9,5.269
80,60,10,"bid",9,112.538,15.838
81,60,10,"bid",9,139.082,25.654
82,60,10,"bid",0,0,0
83,60,10,"bid",3,104.347,0
84,60,10,"bid",3,99.331,0
85,60,10,"bid",3,115.973,0
86,60,10,"bid",0,0,0
87,60,10,"bid",3,106.108,0.413
88,60,10,"bid",0,0,0
89,60,10,"bid",3,171.779,0
90,60,10,"bid",6,111.597,12.914
91,60,10,"bid",0,0,0
92,60,10,"bid",3,117.501,0
93,60,10,"bid",0,0,0
94,60,10,"bid",6,109.616,5.347
95,60,10,"bid",3,124.19,15.213
96,60,10,"bid",3,101.546,0
97,60,10,"bid",0,0,0
98,60,10,"bid",3,107.974,0
99,60,10,"bid",3,100.152,0.19
100,60,10,"bid",6,127.253,22.108
101,60,10,"bid",4,110.841,4.172
102,60,10,"bid",3,106.791,0
103,60,10,"bid",0,0,0
104,60,10,"bid",0,0,0
105,60,10,"bid",7,106.477,0.914
106,60,10,"bid",6,124.13,17.353
107,60,10,"bid",3,140.817,11.989
108,60,10,"bid",8,109.535,3.591
109,60,10,"bid",10,108.103,3.477
110,60,10,"bid",8,111.793,9.3
111,60,10,"bid",0,0,0
112,60,10,"bid",7,114.156,14.291
113,60,10,"bid",3,135.749,0
114,60,10,"bid",2,126.093,0
115,60,10,"bid",6,104.233,0.979
116,60,10,"bid",6,116.72,13.385
117,60,10,"bid",10,102.819,2.196
