"day","mean_draws","stdev_draws","shout","transactions","mean","stdev"
1,60,10,"bid",0,0,0
2,60,10,"bid",0,0,0
3,60,10,"bid",0,0,0
4,60,10,"bid",0,0,0
5,60,10,"bid",0,0,0
6,60,10,"bid",0,0,0
7,60,10,"bid",0,0,0
8,60,10,"bid",0,0,0
9,60,10,"bid",0,0,0
10,60,10,"bid",0,0,0
11,60,10,"bid",0,0,0
12,60,10,"bid",0,0,0
13,60,10,"bid",0,0,0
14,60,10,"bid",0,0,0
15,60,10,"bid",0,0,0
16,60,10,"bid",0,0,0
17,60,10,"bid",0,0,0
18,60,10,"bid",3,130.704,0
19,60,10,"bid",4,149.27,30.413
20,60,10,"bid",8,107.112,6.223
21,60,10,"bid",0,0,0
22,60,10,"bid",5,103.902,1.424
23,60,10,"bid",3,101.396,0
24,60,10,"bid",3,101.396,0
25,60,10,"bid",0,0,0
26,60,10,"bid",2,102.974,1.757
27,60,10,"bid",5,118.028,13.725
28,60,10,"bid",0,0,0
29,60,10,"bid",3,110.628,3.67
30,60,10,"bid",0,0,0
31,60,10,"bid",0,0,0
32,60,10,"bid",6,115.264,2.706
33,60,10,"bid",3,100.641,0
34,60,10,"bid",0,0,0
35,60,10,"bid",6,121.999,3.448
36,60,10,"bid",2,96.954,1.135
37,60,10,"bid",2,106.801,2.851
38,60,10,"bid",0,0,0
39,60,10,"bid",3,131.481,10.137
40,60,10,"bid",6,112.104,12.748
41,60,10,"bid",0,0,0
42,60,10,"bid",3,100.46,0
43,60,10,"bid",0,0,0
44,60,10,"bid",3,101.491,1.351
45,60,10,"bid",0,0,0
46,60,10,"bid",2,98.283,0.402
47,60,10,"bid",7,109.204,9.668
48,60,10,"bid",0,0,0
49,60,10,"bid",2,100.983,0.448
50,60,10,"bid",3,108.096,0
51,60,10,"bid",6,108.096,0
52,60,10,"bid",0,0,0
53,60,10,"bid",6,102.995,0.877
54,60,10,"bid",3,104.762,2.042
55,60,10,"bid",3,103.853,0
56,60,10,"bid",0,0,0
57,60,10,"bid",0,0,0
58,60,10,"bid",0,0,0
59,60,10,"bid",3,101.439,0
60,60,10,"bid",3,112.859,0
61,60,10,"bid",0,0,0
62,60,10,"bid",0,0,0
63,60,10,"bid",0,0,0
