"day","mean_draws","stdev_draws","shout","transactions","mean","stdev"
1,60,10,"bid",0,0,0
2,60,10,"bid",3,133.978,22.627
3,60,10,"bid",3,103.357,0
4,60,10,"bid",8,134.565,21.266
5,60,10,"bid",3,122.739,0
6,60,10,"bid",9,114.745,9.651
7,60,10,"bid",9,122.292,27.92
8,60,10,"bid",6,106.603,9.061
9,60,10,"bid",10,119.211,8.535
10,60,10,"bid",12,115.866,15.973
11,60,10,"bid",5,115.643,8.114
12,60,10,"bid",11,110.424,11.143
13,60,10,"bid",6,116.543,12.005
14,60,10,"bid",1,99.255,0
15,60,10,"bid",1,95.396,0
16,60,10,"bid",12,105.868,8.342
17,60,10,"bid",5,117.452,13.529
18,60,10,"bid",0,0,0
19,60,10,"bid",9,114.988,8.451
20,60,10,"bid",0,0,0
21,60,10,"bid",12,113.894,14.559
22,60,10,"bid",8,112.148,8.595
23,60,10,"bid",1,98.787,0
24,60,10,"bid",13,106.912,4.199
25,60,10,"bid",3,128.73,0
26,60,10,"bid",3,110.59,0
27,60,10,"bid",10,108.611,8.368
28,60,10,"bid",12,113.939,9.036
29,60,10,"bid",4,103.924,0.358
30,60,10,"bid",8,117.378,11.877
31,60,10,"bid",13,122.807,11.142
32,60,10,"bid",3,114.218,5.281
33,60,10,"bid",3,103.61,2.272
34,60,10,"bid",3,102.421,0
35,60,10,"bid",10,112.588,12.862
36,60,10,"bid",11,106.693,6.964
37,60,10,"bid",14,105.352,9.474
38,60,10,"bid",6,109.327,7.061
39,60,10,"bid",16,115.359,8.005
40,60,10,"bid",6,101.546,3.125
41,60,10,"bid",12,103.431,2.722
42,60,10,"bid",5,101.128,2.336
43,60,10,"bid",16,112.934,4.138
44,60,10,"bid",8,107.394,3.293
45,60,10,"bid",8,119.814,15.858
46,60,10,"bid",2,99.38,0
47,60,10,"bid",13,108.886,5.302
48,60,10,"bid",9,127.18,18.937
49,60,10,"bid",8,108.024,5.09
50,60,10,"bid",4,102.199,1.33
51,60,10,"bid",15,106.313,6.473
52,60,10,"bid",6,102.218,2.055
53,60,10,"bid",15,115.588,12.759
54,60,10,"bid",8,106.466,6.385
55,60,10,"bid",9,120.448,17.643
56,60,10,"bid",8,102.579,1.072
57,60,10,"bid",9,100.482,1.417
58,60,10,"bid",7,102.713,4.655
59,60,10,"bid",13,113.397,10.569
60,60,10,"bid",12,107.121,5.846
61,60,10,"bid",6,106.86,12.864
62,60,10,"bid",8,103.634,3.489
63,60,10,"bid",18,109.741,5.945
64,60,10,"bid",9,108.511,4.727
65,60,10,"bid",16,106.684,6.713
66,60,10,"bid",8,104.972,7.073
67,60,10,"bid",10,106.394,7.018
68,60,10,"bid",14,107.562,7.311
69,60,10,"bid",7,109.42,5.481
70,60,10,"bid",7,111.903,11.374
71,60,10,"bid",7,103.2,0.304
72,60,10,"bid",5,108.432,6.731
73,60,10,"bid",3,106.789,0
74,60,10,"bid",5,102.746,1.745
75,60,10,"bid",7,104.248,3.975
76,60,10,"bid",14,108.197,6.812
77,60,10,"bid",6,104.953,2.921
78,60,10,"bid",9,110.72,11.176
79,60,10,"bid",11,106.068,4.247
80,60,10,"bid",10,111.979,6.879
81,60,10,"bid",10,103.419,1.541
82,60,10,"bid",17,109.194,3.649
83,60,10,"bid",12,108.625,1.18
84,60,10,"bid",13,114.515,10.4
85,60,10,"bid",13,109.748,9.871
86,60,10,"bid",11,104.799,3.49
87,60,10,"bid",3,118.233,6.709
88,60,10,"bid",16,111.775,11.351
89,60,10,"bid",8,103.798,2.162
90,60,10,"bid",13,112.129,7.266
91,60,10,"bid",16,108.525,5.822
92,60,10,"bid",14,106.481,4.539
93,60,10,"bid",14,104.428,3.88
94,60,10,"bid",3,131.771,10.612
95,60,10,"bid",6,103.814,0.124
96,60,10,"bid",9,106.226,4.608
97,60,10,"bid",10,103.256,3.196
98,60,10,"bid",4,106.829,1.902
99,60,10,"bid",4,103.032,0.679
100,60,10,"bid",5,113.856,12.127
101,60,10,"bid",13,110.401,11.943
102,60,10,"bid",9,110.854,7.226
103,60,10,"bid",9,109.621,7.791
104,60,10,"bid",9,107.972,4.402
105,60,10,"bid",3,102.73,0
106,60,10,"bid",16,112.939,11.656
107,60,10,"bid",9,109.943,7.868
108,60,10,"bid",6,129.822,9.271
109,60,10,"bid",9,112.072,10.261
110,60,10,"bid",12,106.766,3.711
111,60,10,"bid",9,114.67,8.05
112,60,10,"bid",9,103.402,3.086
113,60,10,"bid",10,112.53,11.081
114,60,10,"bid",13,106.561,5.031
115,60,10,"bid",21,107.452,7.884
116,60,10,"bid",12,120.835,24.457
117,60,10,"bid",12,102.926,1.882
118,60,10,"bid",5,100.721,1.504
119,60,10,"bid",10,107.196,5.82
120,60,10,"bid",14,109.168,6.643
121,60,10,"bid",11,114.797,12.435
122,60,10,"bid",19,109.364,9.877
123,60,10,"bid",14,105.049,4.249
124,60,10,"bid",6,116.891,6.574
125,60,10,"bid",14,111.388,9.737
126,60,10,"bid",3,99.996,0.937
127,60,10,"bid",11,113.516,13.818
128,60,10,"bid",14,112.343,9.515
129,60,10,"bid",10,109.869,7.054
130,60,10,"bid",15,107.584,7.981
131,60,10,"bid",15,104.56,3.076
132,60,10,"bid",9,113.416,10.363
133,60,10,"bid",15,105.206,4.25
134,60,10,"bid",7,112.329,6.058
135,60,10,"bid",19,108.799,6.227
136,60,10,"bid",10,120.746,10.928
137,60,10,"bid",11,109.705,4.351
138,60,10,"bid",11,103.028,2.6
139,60,10,"bid",13,113.455,18.697
140,60,10,"bid",6,102.606,0.592
141,60,10,"bid",9,112.577,8.824
142,60,10,"bid",4,138.897,19.773
143,60,10,"bid",13,107.015,5.983
144,60,10,"bid",11,104.034,2.398
145,60,10,"bid",6,113.136,9.616
146,60,10,"bid",13,108.544,5.456
147,60,10,"bid",15,105.842,3.064
148,60,10,"bid",14,114.205,14.266
149,60,10,"bid",18,116.263,14.908
150,60,10,"bid",16,116.837,8.851
151,60,10,"bid",9,109.836,4.971
152,60,10,"bid",13,118.073,9.384
153,60,10,"bid",5,101.698,0.764
154,60,10,"bid",9,109.525,7.086
155,60,10,"bid",8,109.189,8.634
156,60,10,"bid",20,107.72,3.762
157,60,10,"bid",8,105.084,1.096
158,60,10,"bid",10,111.998,14.146
159,60,10,"bid",19,106.632,7.424
160,60,10,"bid",14,111.563,14.077
161,60,10,"bid",9,105.842,4.394
162,60,10,"bid",17,112.449,12.925
163,60,10,"bid",12,105,5.132
164,60,10,"bid",16,106.068,6.126
165,60,10,"bid",11,106.061,2.959
166,60,10,"bid",11,107.526,7.275
167,60,10,"bid",8,102.83,0.954
168,60,10,"bid",1,99.978,0
169,60,10,"bid",16,102.728,3.048
170,60,10,"bid",5,102.962,1.488
171,60,10,"bid",10,102.692,1.736
172,60,10,"bid",9,114.396,13.345
173,60,10,"bid",12,110.082,6.843
174,60,10,"bid",9,107.275,6.118
175,60,10,"bid",13,103.638,3.004
176,60,10,"bid",15,109.619,9.424
177,60,10,"bid",12,104.29,1.587
178,60,10,"bid",9,103.562,1.113
179,60,10,"bid",10,106.219,4.807
180,60,10,"bid",11,106.869,3.088
181,60,10,"bid",13,106.964,6.738
182,60,10,"bid",15,106.497,4.801
183,60,10,"bid",13,110.487,10.123
184,60,10,"bid",5,102.509,8.118
185,60,10,"bid",23,102.623,3.868
186,60,10,"bid",12,104.07,4.552
187,60,10,"bid",9,98.835,0.756
188,60,10,"bid",12,104.415,4.198
189,60,10,"bid",11,109.095,10.491
190,60,10,"bid",13,105.72,4.204
191,60,10,"bid",10,103.464,1.494
192,60,10,"bid",13,105.34,5.568
193,60,10,"bid",13,112.77,7.062
194,60,10,"bid",10,105.935,3.626
195,60,10,"bid",13,109.361,13.391
196,60,10,"bid",18,108.168,8.588
197,60,10,"bid",17,105.106,1.82
198,60,10,"bid",15,109.475,7.403
199,60,10,"bid",17,112.101,7.963
200,60,10,"bid",17,111.896,5.052
201,60,10,"bid",9,107.886,2.927
202,60,10,"bid",10,103.277,3.401
203,60,10,"bid",12,112.376,8.01
204,60,10,"bid",7,104.872,3.558
205,60,10,"bid",8,110.883,9.024
206,60,10,"bid",14,104.16,3.054
207,60,10,"bid",17,111.491,9.547
208,60,10,"bid",12,108.585,7.025
209,60,10,"bid",12,107.174,6.815
210,60,10,"bid",12,107.499,5.068
211,60,10,"bid",9,109.647,6.087
212,60,10,"bid",6,107.634,2.925
213,60,10,"bid",19,107.351,4.889
214,60,10,"bid",12,106.076,7.855
215,60,10,"bid",9,106.98,8.826
216,60,10,"bid",6,99.554,0.707
217,60,10,"bid",12,121.222,11.076
218,60,10,"bid",10,109.216,7.26
219,60,10,"bid",10,104.843,8.568
220,60,10,"bid",6,106.056,6.241
221,60,10,"bid",11,101.771,2.051
222,60,10,"bid",5,104.983,3.528
223,60,10,"bid",9,106.296,6.43
224,60,10,"bid",6,111.774,11.04
225,60,10,"bid",6,126.85,15.769
226,60,10,"bid",9,122.221,23.189
227,60,10,"bid",6,111.778,3.611
228,60,10,"bid",6,102.976,1.502
229,60,10,"bid",9,108.409,4.393
230,60,10,"bid",9,108.322,6.074
231,60,10,"bid",8,111.252,9.894
232,60,10,"bid",9,107.967,7.531
233,60,10,"bid",13,109.28,6.772
234,60,10,"bid",12,106.657,7.264
235,60,10,"bid",14,110.017,6.28
236,60,10,"bid",8,111.238,4.71
237,60,10,"bid",15,114.878,14.129
238,60,10,"bid",6,101.192,0.893
239,60,10,"bid",13,105.339,6.07
240,60,10,"bid",12,105.798,7.648
241,60,10,"bid",13,112.222,14.913
242,60,10,"bid",4,100.392,1.591
243,60,10,"bid",10,104.642,5.795
244,60,10,"bid",14,106.867,4.696
245,60,10,"bid",10,106.259,3.218
246,60,10,"bid",4,104.708,3.127
247,60,10,"bid",14,107.989,8.936
248,60,10,"bid",13,108.537,9.117
249,60,10,"bid",8,108.614,7.119
250,60,10,"bid",11,104.81,2.636
251,60,10,"bid",6,119.573,4.539
252,60,10,"bid",6,102.878,1.018
253,60,10,"bid",10,106.994,5.81
254,60,10,"bid",6,110.71,0.948
255,60,10,"bid",16,112.399,12.546
256,60,10,"bid",9,105.508,2.221
257,60,10,"bid",12,117.859,17.918
258,60,10,"bid",14,108.674,8.966
259,60,10,"bid",14,106.16,3.553
260,60,10,"bid",15,106.735,5.859
261,60,10,"bid",9,107.858,4.951
262,60,10,"bid",12,107.835,5.991
263,60,10,"bid",8,107.26,5.071
264,60,10,"bid",8,103.451,2.015
265,60,10,"bid",12,109.301,10.271
266,60,10,"bid",9,103.807,2.821
267,60,10,"bid",6,102.433,2.451
268,60,10,"bid",16,110.119,8.512
269,60,10,"bid",12,114.088,9.056
270,60,10,"bid",5,107.828,8.66
271,60,10,"bid",13,118.428,12.867
272,60,10,"bid",11,106.553,3.777
273,60,10,"bid",8,105.309,6.552
274,60,10,"bid",12,105.397,3.333
275,60,10,"bid",18,106.839,3.278
276,60,10,"bid",10,102.838,1.738
277,60,10,"bid",13,104.82,3.763
278,60,10,"bid",10,104.896,1.432
279,60,10,"bid",15,108.307,5.068
280,60,10,"bid",13,105.765,1.572
281,60,10,"bid",5,107.343,4.923
282,60,10,"bid",11,105.58,3.94
283,60,10,"bid",15,105.126,3.171
284,60,10,"bid",13,108.298,6.249
285,60,10,"bid",15,109.977,11.076
286,60,10,"bid",14,105.598,6.092
287,60,10,"bid",16,107.822,8.607
288,60,10,"bid",14,113.484,13.432
289,60,10,"bid",13,104.388,2.698
290,60,10,"bid",9,110.205,13.381
291,60,10,"bid",12,103.724,4.119
292,60,10,"bid",6,106.352,5.97
293,60,10,"bid",9,101.96,2.493
294,60,10,"bid",6,104.401,4.268
295,60,10,"bid",5,101.321,4.37
296,60,10,"bid",4,120.845,14.058
297,60,10,"bid",0,0,0
298,60,10,"bid",4,102.807,0.887
299,60,10,"bid",9,108.56,6.72
300,60,10,"bid",6,105.185,3.192
301,60,10,"bid",7,111.911,12.222
302,60,10,"bid",9,105.123,6.971
303,60,10,"bid",15,108.45,4.413
304,60,10,"bid",14,107.544,5.689
305,60,10,"bid",10,104.781,3.159
306,60,10,"bid",17,108.132,7.926
307,60,10,"bid",19,107.413,4.453
308,60,10,"bid",5,102.497,4.924
309,60,10,"bid",5,100.747,1.181
310,60,10,"bid",9,106.135,7.198
311,60,10,"bid",8,103.734,1.219
312,60,10,"bid",16,104.109,3.832
313,60,10,"bid",12,105.133,2.871
314,60,10,"bid",13,107.856,4.003
315,60,10,"bid",10,110.995,3.223
316,60,10,"bid",10,102.689,3.578
317,60,10,"bid",4,112.641,8.663
318,60,10,"bid",18,108.061,3.953
319,60,10,"bid",11,114.897,12.451
320,60,10,"bid",8,105.195,5.249
321,60,10,"bid",10,103.673,2.725
322,60,10,"bid",16,110.87,6.042
323,60,10,"bid",13,106.762,5.454
324,60,10,"bid",19,110.74,8.905
325,60,10,"bid",12,109.015,1.171
326,60,10,"bid",10,104.068,2.133
327,60,10,"bid",9,111.741,8.019
328,60,10,"bid",8,104.655,1.912
329,60,10,"bid",13,114.106,6.377
330,60,10,"bid",9,107.401,6.254
331,60,10,"bid",8,103.236,1.723
332,60,10,"bid",11,113.193,4.795
333,60,10,"bid",17,111.831,5.539
334,60,10,"bid",7,107.443,2.042
335,60,10,"bid",9,104.715,2.142
336,60,10,"bid",7,104.007,3.775
337,60,10,"bid",9,100.311,0.668
338,60,10,"bid",7,105.557,7.207
339,60,10,"bid",14,107.079,3.494
340,60,10,"bid",13,110.981,6.733
341,60,10,"bid",6,107.575,3.422
342,60,10,"bid",19,113.582,7.8
343,60,10,"bid",9,108.915,2.272
344,60,10,"bid",18,107.548,6.992
345,60,10,"bid",16,106.143,4.462
346,60,10,"bid",15,103.661,3.137
347,60,10,"bid",17,106.089,3.293
348,60,10,"bid",17,112.542,12.013
349,60,10,"bid",19,108.193,4.186
350,60,10,"bid",23,107.052,6.199
351,60,10,"bid",17,108.637,9.193
352,60,10,"bid",20,107.17,5.175
353,60,10,"bid",14,102.996,3.21
354,60,10,"bid",11,103.474,3.437
355,60,10,"bid",20,104.704,3.474
356,60,10,"bid",20,109.004,7.405
357,60,10,"bid",16,109.359,4.96
358,60,10,"bid",18,104.701,1.669
359,60,10,"bid",24,105.093,2.364
360,60,10,"bid",11,101.97,1.441
361,60,10,"bid",22,104.648,2.535
362,60,10,"bid",20,106.403,6.058
363,60,10,"bid",21,109.563,7.574
364,60,10,"bid",26,109.864,7.43
365,60,10,"bid",18,113.854,7.424
366,60,10,"bid",10,104.909,2.221
367,60,10,"bid",20,105.411,4.601
368,60,10,"bid",19,106.719,5.584
369,60,10,"bid",13,110.815,8.099
370,60,10,"bid",14,106.167,3.831
371,60,10,"bid",19,106.342,3.423
372,60,10,"bid",10,105.13,4.66
373,60,10,"bid",12,104.211,5.432
374,60,10,"bid",16,115.04,9.628
375,60,10,"bid",16,109.191,8.134
376,60,10,"bid",10,111.752,14.135
377,60,10,"bid",14,108.757,7.08
378,60,10,"bid",15,104.07,2.692
379,60,10,"bid",17,113.192,9.549
380,60,10,"bid",23,107.908,7.158
381,60,10,"bid",15,109.653,6.953
382,60,10,"bid",4,103.519,1.3
383,60,10,"bid",20,103.799,4.121
384,60,10,"bid",22,108.648,6.237
385,60,10,"bid",24,104.35,2.1
386,60,10,"bid",15,106.333,5.533
387,60,10,"bid",12,107.272,7.922
388,60,10,"bid",15,107.185,5.655
389,60,10,"bid",20,104.634,3.498
390,60,10,"bid",18,104.293,5.258
391,60,10,"bid",17,107.074,8.579
392,60,10,"bid",15,103.126,1.765
393,60,10,"bid",14,106.102,4.842
394,60,10,"bid",15,103.728,4.274
395,60,10,"bid",13,105.651,6.695
396,60,10,"bid",13,108.062,2.905
397,60,10,"bid",7,104.874,6.907
398,60,10,"bid",17,109.295,7.216
399,60,10,"bid",19,108.686,6.404
400,60,10,"bid",8,104.217,6.107
401,60,10,"bid",22,108.412,3.213
402,60,10,"bid",20,109.483,6.419
403,60,10,"bid",20,103.023,1.715
404,60,10,"bid",22,103.057,3.328
405,60,10,"bid",14,107.769,6.192
406,60,10,"bid",19,107.766,5.156
407,60,10,"bid",20,108.621,3.484
408,60,10,"bid",14,104.12,2.505
409,60,10,"bid",21,114.668,15.642
410,60,10,"bid",11,112.457,6.909
411,60,10,"bid",10,102.731,3.163
412,60,10,"bid",9,108.21,10.143
413,60,10,"bid",13,108.8,10.039
414,60,10,"bid",20,113.138,9.058
415,60,10,"bid",12,106.346,5.323
416,60,10,"bid",12,109.12,7.308
417,60,10,"bid",24,110.206,7.255
418,60,10,"bid",19,112.501,10.145
419,60,10,"bid",12,109.778,6.04
420,60,10,"bid",17,104.287,3.725
421,60,10,"bid",15,103.545,2.353
422,60,10,"bid",11,109.074,6.104
423,60,10,"bid",7,101.277,2.115
424,60,10,"bid",14,106.153,3.894
425,60,10,"bid",18,107.983,3.613
426,60,10,"bid",16,110.341,7.885
427,60,10,"bid",18,107.579,4.531
428,60,10,"bid",16,110.082,8.124
429,60,10,"bid",19,113.033,12.068
430,60,10,"bid",18,111.689,8.983
431,60,10,"bid",9,107.453,6.425
432,60,10,"bid",16,106.587,4.582
433,60,10,"bid",9,104.214,2.603
434,60,10,"bid",24,107.637,6.191
435,60,10,"bid",19,110,12.876
436,60,10,"bid",21,109.167,9.402
437,60,10,"bid",23,113.488,9.816
438,60,10,"bid",15,109.572,13.882
439,60,10,"bid",11,100.303,1.835
440,60,10,"bid",9,100.877,1.575
441,60,10,"bid",10,105.798,8.181
442,60,10,"bid",17,104.269,3.047
443,60,10,"bid",16,108.311,4.98
444,60,10,"bid",15,111.245,8.259
445,60,10,"bid",10,104.537,7.003
446,60,10,"bid",18,105.941,3.139
447,60,10,"bid",10,114.207,6.185
448,60,10,"bid",14,117.441,11.21
449,60,10,"bid",9,114.358,11.864
450,60,10,"bid",14,105.453,1.866
451,60,10,"bid",8,104.831,4.185
452,60,10,"bid",8,105.976,5.682
453,60,10,"bid",8,113.303,7.164
454,60,10,"bid",7,107.845,6.202
455,60,10,"bid",15,111.79,5.526
456,60,10,"bid",9,106.697,1.652
457,60,10,"bid",12,102.312,1.698
458,60,10,"bid",14,107.779,9.637
459,60,10,"bid",9,107.884,4.869
460,60,10,"bid",16,103.387,1.594
461,60,10,"bid",16,108.282,6.159
462,60,10,"bid",6,110.895,4.65
463,60,10,"bid",8,105.052,1.881
464,60,10,"bid",20,108.553,8.993
465,60,10,"bid",18,109.627,9.291
466,60,10,"bid",12,105.411,2.523
467,60,10,"bid",9,102.979,1.395
468,60,10,"bid",18,104.926,3.221
469,60,10,"bid",13,107.926,7.824
470,60,10,"bid",16,103.511,3.588
471,60,10,"bid",14,104.4,6.647
472,60,10,"bid",15,103.613,2.127
473,60,10,"bid",14,102.517,1.096
474,60,10,"bid",11,104.115,3.427
475,60,10,"bid",14,108.53,7.518
476,60,10,"bid",19,105.136,3.282
477,60,10,"bid",16,110.24,10.206
478,60,10,"bid",17,108.679,3.967
479,60,10,"bid",10,108.105,6.551
