"day","mean_draws","stdev_draws","shout","transactions","mean","stdev"
1,60,10,"bid",0,0,0
2,60,10,"bid",6,117.126,4.773
3,60,10,"bid",15,114.174,10.939
4,60,10,"bid",9,111.125,7.905
5,60,10,"bid",11,119.456,16.564
6,60,10,"bid",14,108.496,9.386
7,60,10,"bid",9,113.68,15.348
8,60,10,"bid",10,105.158,6.803
9,60,10,"bid",12,112.618,11.638
10,60,10,"bid",9,112.881,9.625
11,60,10,"bid",0,0,0
12,60,10,"bid",13,106.88,4.51
13,60,10,"bid",12,107.745,6.334
14,60,10,"bid",14,116.352,12.763
15,60,10,"bid",9,130.098,13.687
16,60,10,"bid",6,106.067,2.925
17,60,10,"bid",13,108.79,4.669
18,60,10,"bid",7,128.024,22.338
19,60,10,"bid",0,0,0
20,60,10,"bid",13,108.027,5.089
21,60,10,"bid",5,102.461,3.03
22,60,10,"bid",14,110.606,9.903
23,60,10,"bid",9,106.129,3.494
24,60,10,"bid",14,105.02,3.872
25,60,10,"bid",6,124.628,22.923
26,60,10,"bid",12,116.436,13.397
27,60,10,"bid",6,110.678,7.942
28,60,10,"bid",11,104.343,3.183
29,60,10,"bid",6,105.726,4.154
30,60,10,"bid",13,102.846,3.636
31,60,10,"bid",7,102.473,2.366
32,60,10,"bid",9,128.257,4.491
33,60,10,"bid",4,113.661,2.4
34,60,10,"bid",12,117.798,11.866
35,60,10,"bid",9,105.885,6.08
36,60,10,"bid",8,105.349,2.92
37,60,10,"bid",6,106.22,6.093
38,60,10,"bid",12,116.802,13.559
39,60,10,"bid",14,107.872,5.728
40,60,10,"bid",9,125.932,17.578
41,60,10,"bid",11,116.997,13.168
42,60,10,"bid",12,115.699,4.341
43,60,10,"bid",5,111.979,9.935
44,60,10,"bid",8,116.095,9.752
45,60,10,"bid",7,109.047,5.374
46,60,10,"bid",14,110.036,9.32
47,60,10,"bid",9,107.763,8.599
48,60,10,"bid",13,114.116,15.189
49,60,10,"bid",9,105.995,6.272
50,60,10,"bid",17,109.874,5.502
51,60,10,"bid",9,106.794,4.136
52,60,10,"bid",9,113.134,14.727
53,60,10,"bid",11,105.553,3.076
54,60,10,"bid",16,111.079,13.24
55,60,10,"bid",12,117.925,8.477
56,60,10,"bid",12,108.897,7.22
57,60,10,"bid",10,108.266,6.001
58,60,10,"bid",17,115.403,11.461
59,60,10,"bid",10,111.31,10.886
60,60,10,"bid",8,125.583,22.667
61,60,10,"bid",16,105.268,4.413
62,60,10,"bid",13,105.531,5.693
63,60,10,"bid",8,113.167,5.695
64,60,10,"bid",16,106.471,5.21
65,60,10,"bid",3,134.244,0
66,60,10,"bid",7,104.988,6.389
67,60,10,"bid",10,111.237,5.873
68,60,10,"bid",8,131.088,35.534
69,60,10,"bid",0,0,0
70,60,10,"bid",11,113.136,7.146
71,60,10,"bid",9,113.558,14.672
72,60,10,"bid",8,108.495,2.582
73,60,10,"bid",2,112.535,4.232
74,60,10,"bid",8,103.711,3.308
75,60,10,"bid",4,104.974,4.084
76,60,10,"bid",6,102.42,4.313
77,60,10,"bid",3,114.719,0.966
78,60,10,"bid",7,111.328,7.253
79,60,10,"bid",3,110.756,0
80,60,10,"bid",4,100.104,1.311
81,60,10,"bid",7,112.226,8.561
82,60,10,"bid",8,113.566,8.293
83,60,10,"bid",9,134.902,28.441
84,60,10,"bid",0,0,0
85,60,10,"bid",5,105.15,3.198
86,60,10,"bid",9,104.047,2.946
87,60,10,"bid",4,111.483,9.274
88,60,10,"bid",3,116.52,5.937
89,60,10,"bid",9,115.006,9.908
90,60,10,"bid",6,109.237,7.871
91,60,10,"bid",11,109.431,6.331
92,60,10,"bid",10,112.748,5.769
93,60,10,"bid",7,107.101,4.104
94,60,10,"bid",10,108.209,7.968
